frameID,eventType,player1Position,player2Position,ballPosition,speed
63,p2cp,"[7.7, 46.2, 0.0]","[-7.96, -48.41, 0.0]","[-8.06, -48.41, 3.3]",
64,,"[5.3, 45.6, 0.0]","[-7.43, -48.41, 0.0]",,
65,,"[7.7, 46.2, 0.0]","[-7.54, -48.41, 0.0]",,
66,,"[5.3, 45.6, 0.0]","[-7.85, -48.41, 0.0]",,
67,,"[7.6, 46.2, 0.0]","[-8.06, -48.41, 0.0]",,
68,,"[5.3, 45.6, 0.0]","[-7.96, -48.41, 0.0]",,
69,,"[8.6, 38.4, 0.0]","[-8.06, -48.41, 0.0]",,
70,,"[7.9, 46.2, 0.0]","[-8.06, -48.41, 0.0]",,
71,,"[5.3, 45.6, 0.0]","[-7.96, -48.41, 0.0]",,
72,,"[8.6, 38.4, 0.0]","[-8.06, -48.41, 0.0]",,
73,,"[7.9, 46.2, 0.0]","[-7.85, -48.41, 0.0]",,
74,,"[5.3, 45.6, 0.0]","[-7.84, -51.76, 0.0]",,
75,,"[8.6, 38.4, 0.0]","[-7.54, -48.41, 0.0]",,
76,,"[8.0, 46.2, 0.0]","[-7.33, -48.41, 0.0]",,
77,,"[5.3, 45.6, 0.0]","[-7.12, -48.42, 0.0]",,
78,,"[8.6, 38.4, 0.0]","[-6.81, -48.42, 0.0]",,
79,p2nc,"[8.0, 46.2, 0.0]","[-6.89, -50.06, 0.0]","[-1.0, 0, 5.1]",
80,,"[5.3, 45.6, 0.0]","[-6.47, -50.07, 0.0]",,
81,,"[8.6, 38.4, 0.0]","[-6.26, -50.07, 0.0]",,
82,,"[8.1, 46.2, 0.0]","[-6.04, -50.07, 0.0]",,
83,,"[8.6, 38.3, 0.0]","[-6.04, -50.07, 0.0]",,
84,,"[8.3, 46.2, 0.0]","[-5.69, -46.82, 0.0]",,
85,,"[8.7, 38.3, 0.0]","[-5.79, -46.82, 0.0]",,
86,,"[8.4, 46.2, 0.0]","[-5.79, -46.82, 0.0]",,
87,,"[8.8, 38.3, 0.0]","[-5.79, -46.82, 0.0]",,
88,,"[8.7, 46.2, 0.0]","[-5.59, -46.82, 0.0]",,
89,p2bb,"[8.8, 38.3, 0.0]","[-5.69, -46.82, 0.0]","[4.4, 27.8, 0]",65.65097714941774
90,,"[8.8, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
91,,"[8.8, 38.3, 0.0]","[-5.9, -46.82, 0.0]",,
92,,"[8.9, 46.2, 0.0]","[-6.07, -48.42, 0.0]",,
